Mixture;B cells;CD4 Naive;CD4 Memory;CD8 Naive;CD8 Memory;CD8 Effector;Treg cell;Th cell;Monocytes CD16;Monocytes CD14;DC;NK
TCGA-EB-A3XE-01A-12R-A239-07;0.081267188;0;0.013577508;0;0;0.012700559;0;0.341841637;0.170270389;0;0.124341341;0.001965996
TCGA-GF-A3OT-06A-23R-A239-07;0;0.010277783;0.450209033;0;0;0.010567866;0;0.253835592;0;0;0.18016998;0.002787995
TCGA-EB-A3XD-01A-22R-A239-07;0.195178767;0.037217375;0;0;0;0.020145647;0;0.377495654;0;0;0.131765715;0
TCGA-EB-A3Y7-01A-11R-A239-07;0;0.165876561;0.383518492;0;0;0.031907818;0.110057455;0;0;0.018506545;0.200424053;0.008332429
TCGA-HR-A2OH-06A-11R-A18U-07;0;0.01610097;0.083582332;0;0;0.107159117;0;0.056280367;0;0.024466216;0.409268217;0
TCGA-FR-A3YO-06A-11R-A239-07;0.082942763;0;0.187650046;0.074247427;0;0.03053187;0.366950964;0.023224585;0.003693846;0.029781753;0;0.008965405
TCGA-FR-A3YN-06A-11R-A239-07;0;0.347331502;0.112322055;0;0;0.012857929;0;0.098011192;0;0;0.103116095;0
TCGA-FW-A3R5-06A-11R-A239-07;0;0.131564686;0.438607392;0;0;0;0;0.167317649;0;0.041229298;0.041161645;0.020690004
TCGA-FW-A3TV-06A-11R-A239-07;0;0.326206723;0.201228251;0;0;0.017124793;0;0.138160712;0;0.044974449;0.076120366;0.001175984
TCGA-FW-A3TU-06A-11R-A239-07;0.218008402;0;0.010175483;0.27614363;0;0.019529628;0.145046978;0.067804019;0;0;0.209219379;0.002617412
TCGA-D9-A3Z3-06A-11R-A239-07;0;0.373302866;0.019039562;0;0;0.063950085;0;0.071263215;0;0;0.207575281;0
TCGA-ER-A19W-06A-41R-A239-07;0;0.182838355;0.218867662;0;0;0.093354567;0;0.079884261;0;0;0.269165536;0.003448192
TCGA-D9-A3Z1-06A-11R-A239-07;0;0.241954205;0.235483903;0;0;0.043304887;0.069629647;0.004942755;0;0;0.173456868;0
TCGA-ER-A19M-06A-61R-A239-07;0.127641301;0;0.422384306;0;0;0.008512612;0;0.039141606;0;0;0.107873154;0
TCGA-ER-A3PL-06A-11R-A239-07;0.057271847;0.32931319;0.111326023;0;0;0.019039607;0;0.382703932;0.004483396;0;0;0
TCGA-FR-A3R1-01A-11R-A239-07;0;0.227551942;0.085050613;0;0;0.054133247;0;0.190206105;0;0;0.237513964;0
TCGA-EE-A3JH-06A-11R-A21D-07;0;0.124070213;0;0;0.024776798;0.053156239;0.050144419;0.002818902;0;0.070357839;0.226461521;0
TCGA-ER-A3ET-06A-11R-A20F-07;0.024068601;0.15478852;0.079798211;0;0;0.041189941;0;0.340201351;0;0.034101613;0.151602549;0
